0	0:0:90
1	0:0:90
2	0:0:90
3	0:16:90
4	0:0:90
5	7:0:35,35:32:7
6	7:0:35,35:32:7
7	7:8:35
8	5:0:50
9	5:0:50
10	9:0:25
11	9:0:25
12	10:0:10,30:28:4
13	11:0:15
14	11:0:15
15	13:0:5
16	13:0:5
17	14:0:18
18	16:0:40
19	16:0:40
20	16:0:40
21	16:8:40
22	18:0:33
23	18:16:33
24	19:16:21
25	19:0:21
26	20:0:14,32:32:46
27	21:0:9
28	22:0:17
29	23:0:26
30	23:8:26
31	24:0:50
32	24:0:50
33	26:0:28
34	26:8:28
35	27:0:13
36	28:0:31
37	28:12:31
38	29:0:19
39	30:0:4,10:28:10
40	31:0:44
41	31:16:44
42	32:0:46,20:32:14
43	33:0:8
44	34:0:11
45	35:0:7,7:32:35
46	37:0:3
47	37:24:3
48	
49	38:0:2
50	39:16:10
51	40:0:10
52	43:12:5,44:32:9
53	45:12:3,46:28:0,44:32:9,43:32:5
54	
55	7:28:35,9:24:25,35:44:7,45:44:3,46:40:0,24:56:50,14:56:18,10:56:10,42:64:10,44:56:9
56	1:16:80
57	3:0:70
58	2:16:60
