a	895
able	673
about	857
above	620
across	629
actix	345
ada	480
added	745
afghanistan	200
after	820
afternoon	593
again	660
against	619
agda	255
albania	200
algeria	200
algorithm	300
all	866
allowed	746
almost	635
along	618
alpine	218
already	638
also	822
although	616
always	641
among	617
an	870
ancient	270
and	896
andorra	200
android	200
anger	351
angola	200
angry	301
angular	447
ansible	473
answer	425
ant	498
any	807
anybody	602
anything	606
anywhere	598
apache	335
apl	300
apollo	291
appeared	735
apple	555
april	581
arch	221
are	799
argentina	200
armenia	200
around	659
array	299
art	416
artist	376
as	885
asked	784
assembly	385
astro	393
at	882
august	578
aunt	395
australia	200
austria	200
autoconf	365
autumn	586
available	308
away	661
awk	230
axum	348
azerbaijan	200
babel	437
baby	393
back	821
backbone	429
backend	157
bad	675
bahamas	200
bahrain	200
banana	554
bandwidth	201
bangladesh	200
barbados	200
bash	415
basic	290
bazel	380
be	899
beach	459
bear	494
beautiful	316
because	808
bee	499
beef	522
been	797
before	646
began	774
behind	628
belarus	200
belgium	200
believed	769
belize	200
below	654
benin	200
between	658
beyond	627
bhutan	200
big	666
binary	298
biology	412
bird	508
bitbucket	491
bitmask	297
bitter	274
bitwise	165
black	560
blue	562
bolivia	200
book	485
boolean	296
bootstrap	276
botswana	200
bought	734
boy	389
brazil	200
bread	535
bridge	469
bright	282
brother	400
brought	768
brown	557
brunei	200
bubblesort	178
buffer	295
built	728
bulgaria	200
bulma	273
bun	341
burundi	200
business	363
busy	297
but	880
butter	534
by	878
bytecode	294
bytes	164
cache	293
caddy	332
cake	520
callback	292
called	779
cambodia	200
came	789
camel	486
cameroon	200
can	849
canada	200
carefully	323
cargo	401
carrot	541
case	695
cassandra	305
cat	515
centos	215
certainly	317
chad	200
chair	480
changed	755
chapter	427
checksum	200
cheese	533
chef	467
chemistry	413
cherry	553
chicken	523
child	708
children	707
chile	200
china	200
chocolate	518
chromium	194
cipher	199
circleci	455
city	685
clang	359
class	291
clean	291
clearly	321
clojure	525
closure	290
cloud	454
cmake	377
cobol	495
coffee	531
coffeescript	280
cold	340
colombia	200
color	332
colour	333
come	826
comoros	200
company	693
compiler	289
compression	198
concurrency	288
conda	389
congo	200
considered	736
constant	287
constructor	286
consul	284
continued	758
cookie	519
cool	284
copper	440
coq	250
coroutine	285
cost	364
could	835
country	700
cousin	394
cow	513
cplusplus	395
created	749
croatia	200
cryptography	197
crystal	435
csharp	400
css	360
cuba	200
cursor	163
customer	368
cut	725
cypress	419
cyprus	200
czechia	200
dance	437
dangerous	292
dark	283
dart	450
database	284
dataset	162
daughter	398
day	804
deadlock	283
debian	227
debugger	282
december	574
decided	716
decorator	281
deer	491
delphi	485
denmark	200
deno	344
dependency	280
deployment	161
desert	461
desk	481
dictionary	279
did	794
died	731
diesel	339
different	664
difficult	312
dirty	290
django	387
djibouti	200
do	883
docker	488
doctor	407
docusaurus	390
dog	516
dolphin	502
dominica	200
